,database,query,num_topics,qry_topics,num_documents,rand_seed,coherence,ext_query_size,num_relevant,f_distance,top_10_true,top_20_true
199,Radjenovic,defect_predict metric,200,2,6000,983,0.3346936200513035,2,48,2,2,3
200,Hall,defect_predict,10,1,8911,534,0.43823555495264366,1203,104,2,3,5
201,Hall,defect_predict,20,1,8911,534,0.4470526000698591,758,104,1,10,13
202,Hall,defect_predict,30,1,8911,534,0.46118238326079836,773,104,1,9,15
203,Hall,defect_predict,40,1,8911,534,0.4530212218132787,676,104,1,7,12
204,Hall,defect_predict,50,1,8911,534,0.4472613172301118,469,104,1,8,13
205,Hall,defect_predict,60,1,8911,534,0.4391562766851888,549,104,1,7,14
206,Hall,defect_predict,70,1,8911,534,0.4436224726940885,633,104,1,7,14
207,Hall,defect_predict,80,1,8911,534,0.428705770064739,593,104,1,5,11
208,Hall,defect_predict,90,1,8911,534,0.4267280713477058,493,104,1,9,13
209,Hall,defect_predict,100,1,8911,534,0.4227194711766035,517,104,1,8,15
210,Hall,defect_predict,110,1,8911,534,0.4190162936599093,424,104,1,8,14
211,Hall,defect_predict,120,1,8911,534,0.41756454012174926,463,104,1,7,14
212,Hall,defect_predict,130,1,8911,534,0.42072550945222725,440,104,1,9,18
213,Hall,defect_predict,140,1,8911,534,0.41583874113182484,420,104,1,9,17
214,Hall,defect_predict,150,1,8911,534,0.4053429806830714,333,104,1,7,13
215,Hall,defect_predict,160,1,8911,534,0.39349327413919866,304,104,1,5,10
216,Hall,defect_predict,170,1,8911,534,0.4019176687487795,396,104,1,6,14
217,Hall,defect_predict,180,1,8911,534,0.4011855309088817,412,104,1,8,14
218,Hall,defect_predict,190,1,8911,534,0.39103157561679003,326,104,1,8,15
219,Hall,defect_predict,200,1,8911,534,0.39198040204084317,417,104,1,9,15
220,Hall,defect_predict,10,1,8911,424,0.44389499377577313,914,104,3,5,6
221,Hall,defect_predict,20,1,8911,424,0.44844532498485695,915,104,2,7,12
222,Hall,defect_predict,30,1,8911,424,0.45513355771142483,760,104,1,8,15
223,Hall,defect_predict,40,1,8911,424,0.459446292473212,470,104,1,9,17
224,Hall,defect_predict,50,1,8911,424,0.44736507483159504,442,104,1,8,12
225,Hall,defect_predict,60,1,8911,424,0.44493460400277807,526,104,1,9,16
226,Hall,defect_predict,70,1,8911,424,0.43536185253287796,514,104,1,8,16
227,Hall,defect_predict,80,1,8911,424,0.44551337906699845,585,104,1,8,15
228,Hall,defect_predict,90,1,8911,424,0.42649024602826185,564,104,1,8,14
229,Hall,defect_predict,100,1,8911,424,0.4186108650032002,493,104,1,8,14
230,Hall,defect_predict,110,1,8911,424,0.414652333685437,485,104,1,7,13
231,Hall,defect_predict,120,2,8911,424,0.41602314668479595,609,104,2,6,10
232,Hall,defect_predict,130,1,8911,424,0.4105610378580044,457,104,1,8,14
233,Hall,defect_predict,140,1,8911,424,0.3991074636463751,474,104,1,8,15
234,Hall,defect_predict,150,1,8911,424,0.405473339540435,399,104,1,8,16
235,Hall,defect_predict,160,1,8911,424,0.3978175932207887,454,104,1,8,14
236,Hall,defect_predict,170,1,8911,424,0.4018548689434396,405,104,1,7,15
237,Hall,defect_predict,180,1,8911,424,0.399273847567864,397,104,1,8,14
238,Hall,defect_predict,190,1,8911,424,0.3884449202275799,315,104,1,7,13
239,Hall,defect_predict,200,1,8911,424,0.3950175081164113,409,104,1,7,13
240,Hall,defect_predict,10,1,8911,826,0.434351914129303,1080,104,1,4,5
241,Hall,defect_predict,20,1,8911,826,0.45414256778691087,696,104,1,8,13
242,Hall,defect_predict,30,1,8911,826,0.44873060563471595,812,104,1,6,12
243,Hall,defect_predict,40,1,8911,826,0.4570160855775491,604,104,1,9,15
244,Hall,defect_predict,50,1,8911,826,0.45274603992399653,365,104,2,6,12
245,Hall,defect_predict,60,1,8911,826,0.43257794810384237,471,104,1,8,14
246,Hall,defect_predict,70,1,8911,826,0.44706874943864244,569,104,1,9,15
247,Hall,defect_predict,80,1,8911,826,0.4256020635456833,599,104,1,6,9
248,Hall,defect_predict,90,1,8911,826,0.43362870260590886,483,104,1,4,11
249,Hall,defect_predict,100,1,8911,826,0.4243114940922149,513,104,1,8,16
250,Hall,defect_predict,110,1,8911,826,0.4191622694128633,497,104,1,10,15
251,Hall,defect_predict,120,1,8911,826,0.415838611583225,476,104,1,9,15
252,Hall,defect_predict,130,1,8911,826,0.41156268745577235,512,104,1,8,15
253,Hall,defect_predict,140,1,8911,826,0.39935125176068303,486,104,1,8,15
254,Hall,defect_predict,150,1,8911,826,0.4159041141890791,448,104,1,8,15
255,Hall,defect_predict,160,1,8911,826,0.4025010554468782,309,104,1,8,14
256,Hall,defect_predict,170,1,8911,826,0.40310743565831847,397,104,1,8,14
257,Hall,defect_predict,180,1,8911,826,0.39732997946094917,402,104,1,8,13
258,Hall,defect_predict,190,1,8911,826,0.3952770479863025,413,104,1,8,14
259,Hall,defect_predict,200,1,8911,826,0.39527204266367294,425,104,1,9,16
260,Hall,defect_predict,10,1,8911,310,0.44293530398742076,1992,104,131,0,0
261,Hall,defect_predict,20,1,8911,310,0.4492162701398696,839,104,1,7,11
262,Hall,defect_predict,30,1,8911,310,0.4520428259000125,768,104,1,5,12
263,Hall,defect_predict,40,2,8911,310,0.45400586460065473,687,104,1,8,12
264,Hall,defect_predict,50,1,8911,310,0.45288300057973147,472,104,1,9,14
265,Hall,defect_predict,60,1,8911,310,0.44486815132703217,466,104,1,7,13
266,Hall,defect_predict,70,1,8911,310,0.4381188203768933,537,104,1,6,9
267,Hall,defect_predict,80,1,8911,310,0.43095782711472064,532,104,1,9,17
268,Hall,defect_predict,90,1,8911,310,0.4304698422213325,533,104,1,8,14
269,Hall,defect_predict,100,1,8911,310,0.41754594055609295,503,104,1,8,16
270,Hall,defect_predict,110,1,8911,310,0.416849191248987,447,104,1,8,16
271,Hall,defect_predict,120,1,8911,310,0.40980608145155417,466,104,1,7,14
272,Hall,defect_predict,130,1,8911,310,0.4137714615733945,370,104,1,8,11
273,Hall,defect_predict,140,2,8911,310,0.4177495887988757,475,104,1,8,12
274,Hall,defect_predict,150,1,8911,310,0.4056188106367334,424,104,1,8,15
275,Hall,defect_predict,160,1,8911,310,0.4034566781978349,392,104,3,7,13
276,Hall,defect_predict,170,1,8911,310,0.4033691533916487,443,104,1,6,13
277,Hall,defect_predict,180,1,8911,310,0.3968921255793014,410,104,1,8,15
278,Hall,defect_predict,190,1,8911,310,0.39041376238592934,379,104,1,7,14
279,Hall,defect_predict,200,2,8911,310,0.3861364084042121,441,104,1,7,14
280,Hall,defect_predict,10,1,8911,983,0.4432347947309667,1058,104,1,5,9
281,Hall,defect_predict,20,1,8911,983,0.45266612785983734,665,104,1,7,11
282,Hall,defect_predict,30,1,8911,983,0.4477879017637318,768,104,1,5,9
283,Hall,defect_predict,40,1,8911,983,0.46081441337131424,570,104,1,6,9
284,Hall,defect_predict,50,1,8911,983,0.43995678387614595,473,104,1,5,10
285,Hall,defect_predict,60,1,8911,983,0.4469580222416075,587,104,1,9,15
286,Hall,defect_predict,70,1,8911,983,0.4373613472508461,548,104,1,8,15
287,Hall,defect_predict,80,1,8911,983,0.4386497724601073,560,104,1,7,13
288,Hall,defect_predict,90,1,8911,983,0.4292597755977897,542,104,1,9,14
289,Hall,defect_predict,100,1,8911,983,0.427211052217685,515,104,1,9,15
290,Hall,defect_predict,110,1,8911,983,0.4194989445276877,510,104,1,8,15
291,Hall,defect_predict,120,1,8911,983,0.417285514613186,329,104,1,7,12
292,Hall,defect_predict,130,1,8911,983,0.4095280946705223,469,104,1,9,14
293,Hall,defect_predict,140,1,8911,983,0.40428392444991923,443,104,1,8,14
294,Hall,defect_predict,150,1,8911,983,0.40223780647908786,411,104,1,9,14
295,Hall,defect_predict,160,1,8911,983,0.40178979546427074,385,104,2,5,12
296,Hall,defect_predict,170,1,8911,983,0.3979681520373581,375,104,1,8,17
297,Hall,defect_predict,180,1,8911,983,0.3913368781884881,376,104,1,9,13
298,Hall,defect_predict,190,1,8911,983,0.39230802091995154,363,104,1,8,15
299,Hall,defect_predict,200,1,8911,983,0.390522608770877,276,104,1,7,12
300,Wahono,defect_predict,10,1,7002,534,0.47641258211341314,911,62,15,0,2
301,Wahono,defect_predict,20,1,7002,534,0.45364032215804684,869,62,2,1,3
302,Wahono,defect_predict,30,1,7002,534,0.43920216949993907,666,62,6,1,5
303,Wahono,defect_predict,40,1,7002,534,0.43500338845000475,577,62,3,1,3
304,Wahono,defect_predict,50,1,7002,534,0.4071161863231199,505,62,3,1,3
305,Wahono,defect_predict,60,1,7002,534,0.3980521176677675,595,62,2,1,2
